FileName,HasLyrics,SongBookTitle,Remarks
Tony_Chestnut.mp3,N,,,
Toori_Ay.mp3,N,,,
Triple_Whammy_(Putney_Allstars).mp3,N,,,
Troubles_Of_The_World.mp3,N,,,
Tu_We_And_Hill_And_Gully_Rider_(Postcamps_07).mp3,N,,,
Turkey_Rhubarb.mp3,N,,,
Um_A_Lay_(Glee_07).mp3,N,,,
Um_A_Lay_(Wangs).mp3,N,,,
Umkhonto_We_Sizwe_(In_The_Crypt).mp3,N,,,
Uncle_Joe.mp3,N,,,
Underneath_The_Mango_Tree.mp3,N,,,
Unicorn.mp3,N,,,
Unnecessary_Toil.mp3,N,,,
Up_Above_My_Head.mp3,N,,,
Up_Above_My_Head_(Field).mp3,N,,,
Up_The_Ladder.mp3,N,,,
Wade_In_The_Water_(Postcamps_07).mp3,N,,,
Way_Over_Yonder_(With_Criticism_At_The_End).mp3,N,,,
We_All_Come_From_The_Goddess_(Rain_Soaked_Hippies).mp3,N,,,
We_Are_At_One_With_The_Infinite_Sun_(Rain_Soaked_Hippies).mp3,N,,,
Wedding_Song.mp3,N,,,
Went_Down_To_The_River_To_Pray.mp3,N,,,
We're_Coming_Home_(Rain_Soaked_Hippies).mp3,N,,,
We're_Healing_The_World_(Rain_Soaked_Hippies).mp3,N,,,
We've_Got_All_The_Love.mp3,N,,,
We've_Got_All_The_Love_(Parts).mp3,N,,,
Whisky.mp3,N,,,
Whisky_On_A_Sunday_(FFS).mp3,N,,,
White_Cockade_(01).mp3,Y,,,
White_Cockade_(02).mp3,Y,,,
White_Cockade_(Barnyard).mp3,Y,,,
White_Cockade_(Wagon_Band).mp3,Y,,,
Whoa_Naday_Naday_Nadeechay.mp3,N,,,
Wildwood_Flower_(Barnyard).mp3,N,,,
Winky_Wunk.mp3,N,,,
Woad.mp3,N,,,
Work_Song_(01).mp3,N,,,
Work_Song_(02).mp3,N,,,
Work_Song_(03).mp3,N,,,
Work_Song_(Lonesome).mp3,N,,,
Work_Song_(Putney_Allstars).mp3,N,,,
Yellay_Mama.mp3,N,,,
Yellow_Roses.mp3,Y,,,
Yolomano.mp3,N,,,
Yolomano_(In_The_Crypt).mp3,N,,,
Yolomano_(Parts).mp3,N,,,
Zum_Gali_Gali.mp3,N,,,
