FileName,Next 1990,2012 Songbook,2017 Songbook,Tags,Quality,VC Choice,Notes,,,,,
Haul_Away_Joe_(Putney_Allstars).mp3,,Y,Y,,Good,Y,,,,,,
Heavenly_Aeroplane.mp3,,N,N,,Fine,N,Alt songs,,,,,
The_Herring_(Assington_2024-05).mp3,,Y,Y,,Fine,Y,Rerecord,,,,,
Hesitation_Blues.mp3,Y,Y,Y,With Guitar,Good,Y,,,,,,
Hey_Ho_Anybody_Home.mp3,,Y,Y,Round,Fine,Y,,,,,,
Hill_And_Gully_Rider.mp3,Y,N,Y,,Bin,Y,Rerecord - Sounds far away,,,,,
Hippopotamus_[Glorious_Mud]_(Oxford_Glee_2024-10).mp3,,N,Y,,Fine,Y,"From Emily, whatsapp",,,,,
Hold_The_Lantern_High_(Alice_2022-10).mp3,,N,N,,,Y,"From Alice 2024"
Home_Boys_Home_(Bridges_2023-12).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Home_To_The_Motherland.mp3,,N,N,Round,Fine,Y,,,,,,
Hot_Tea_(Not_Recorded_Yet).mp3,,N,N,,,Y,"Arise Jan 2024"
House_Of_The_Rising_Sun.mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Humpty_Dumpty_Rap_(Not_Recorded_Yet).mp3,,N,N,,,Y,"IFASCO 2024"
The_Huntsman_(FITM_2024-06).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
The_Huntsman_(Postcamps_2024-09).mp3,,N,Y,,Fine,N,From OGVCC,,,,,
Hush_A_Bye.mp3,,N,N,,Fine,Y,,,,,,
I'll_Be_Your_Baby_Tonight_(Horton_Rd_Vol_1).mp3,,N,N,Pop,Fine,N,,,,,,
I'll_Fly_Away.mp3,,N,Y,,Fine,Y,,,,,,
I_Am_Weary_Let_Me_Rest.mp3,,N,Y,,Good,N,I am weary let me rest,,,,,
I_Am_Weary_Let_Me_Rest_(London_Glee_2024-02).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
I_Dare_Not_Let_You_In.mp3,,N,N,Solo + chorus,Good,Y,"Song is - It Rains, It Hails (Frank Hinchliffe)",,,,,
I_Like_The_Potholes_(Goatchurch_2025).mp3,,N,N,,,Y,"IFASCO Caving Camp 2025"
If_You_Miss_Me_At_The_Back_Of_The_Bus_(Stores_2025-03).mp3,,N,N,,,Y,"IFASCO 2024"
In_A_Cottage_In_A_Wood_(Not_Recorded_Yet).mp3,,N,N,,,Y,"IFASCO 2024"
I've_Got_A_Sin_Coming_On.mp3,,N,N,Pop,Good,Y,,,,,,
I_Feel_A_Sin_Coming_On_(Oxford_Glee_2025-01).mp3,,N,N,,,Y,"IFASCO 2024"
I_Like_A_Nice_Cup_Of_Tea_(Not_Recorded_Yet).mp3,,N,N,,,Y,"Arise Jan 2024"
I_Like_The_Flowers_(Oxford_Glee_2024-03).mp3,,N,N,,Fine,Y,Rerecord - Talking at the start.,,,,,
I_Paradise_(Studio).mp3,,N,N,Foreign Language,Fine,Y,Alt songs,,,,,
I_Will_Rock_My_Heart.mp3,,N,N,,Good,Y,,,,,,
I_Will_Rock_My_Heart_(Snippet).mp3,,N,N,,Bin,N,,,,,,
I_Wonder_If_I'm_Growing.mp3,,N,N,,Bin,N,Lame,,,,,
I_don't_want_your_millions_(Caitlin_2024-06).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
If_I_Were_A_Blackbird.mp3,,N,N,,Fine,Y,,,,,,
If_You_Want_To_See_The_General.mp3,,N,N,,Good,Y,,,,,,
If_You_Want_To_See_The_General_(Fireside).mp3,,N,N,,Fine,N,,,,,,
Ilkley_Moor_(Leeds_Glee_2013-09).mp3,,N,N,,Fine,N,Rerecord - Recorded inside a bucket - On Ilkley Moor Baht 'at,,,,,
